INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; PetrS;
Execution date/time; 2016/10/03 08:28:13
AlgTestJClient version; 1.7.0
AlgTest applet version; 1.7.0
Used reader; PC/SC terminal Generic EMV Smartcard Reader 0
Card ATR; 3b fa 13 00 00 81 31 fe 45 4a 43 4f 50 31 30 56 32 33 31 93
Card name; NXP JCOP 10_18 v2.3.1
Used protocol; T=1
Package_AID_test; NXP_JCOP_1018_v2.3.1_AIDSUPPORT_3BFA1300008131FE454A434F5031305632333193.csv

JavaCard support version;2.2.1
JCSystem.getVersion()[Major.Minor];2.2;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;11168B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;1062B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;512B;
JCSystem.getMaxCommitCapacity();512B;

CPLC; 9f 7f 2a 47 90 51 06 40 51 70 95 2b 00 81 63 00 09 23 91 38 50 00 00 00 00 00 00 00 00 0e 29 1d 30 30 39 32 33 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4790;NXP
CPLC.ICType;5106
CPLC.OperatingSystemID;4051
CPLC.OperatingSystemReleaseDate;7095
CPLC.OperatingSystemReleaseLevel;2b00
CPLC.ICFabricationDate;8163;(Y DDD) date in that year
CPLC.ICSerialNumber;00092391
CPLC.ICBatchIdentifier;3850
CPLC.ICModuleFabricator;0000
CPLC.ICModulePackagingDate;0000
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;0e29
CPLC.ICPrePersonalizationEquipmentDate;1d30
CPLC.ICPrePersonalizationEquipmentID;30393233
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.118000
ALG_DES_CBC_ISO9797_M1;yes;0.110000
ALG_DES_CBC_ISO9797_M2;yes;0.110000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0.110000
ALG_DES_ECB_ISO9797_M1;yes;0.101000
ALG_DES_ECB_ISO9797_M2;yes;0.097000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;no;
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;no;
ALG_AES_BLOCK_128_CBC_NOPAD;no;
ALG_AES_BLOCK_128_ECB_NOPAD;no;
