INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2016/11/29 13:02:12
AlgTestJClient version; 1.6.0
AlgTest applet version; 1.6.0
Used reader; PC/SC terminal Identiv SCR3500 A Contact Reader 0
Card ATR; 3b 90 95 80 11 fe 6a
Card name; JC30M48CR
Used protocol; T=1

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;1701B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;384B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;384B;
CPLC; failed to obtain CPLC
javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.064000
ALG_DES_CBC_ISO9797_M1;yes;0.064000
ALG_DES_CBC_ISO9797_M2;yes;0.063000
ALG_DES_CBC_PKCS5;yes;0.063000
ALG_DES_ECB_NOPAD;yes;0.063000
ALG_DES_ECB_ISO9797_M1;yes;0.064000
ALG_DES_ECB_ISO9797_M2;yes;0.063000
ALG_DES_ECB_PKCS5;yes;0.063000
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.062000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.061000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.062000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.062000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0.062000
ALG_AES_CBC_ISO9797_M2;yes;0.062000
ALG_AES_CBC_PKCS5;yes;0.062000
ALG_AES_ECB_ISO9797_M1;yes;0.063000
ALG_AES_ECB_ISO9797_M2;yes;0.063000
ALG_AES_ECB_PKCS5;yes;0.062000

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;0.062000
ALG_DES_MAC8_NOPAD;yes;0.062000
ALG_DES_MAC4_ISO9797_M1;yes;0.062000
ALG_DES_MAC8_ISO9797_M1;yes;0.062000
ALG_DES_MAC4_ISO9797_M2;yes;0.062000
ALG_DES_MAC8_ISO9797_M2;yes;0.062000
ALG_DES_MAC4_PKCS5;yes;0.062000
ALG_DES_MAC8_PKCS5;yes;0.062000
ALG_RSA_SHA_ISO9796;yes;0.062000
ALG_RSA_SHA_PKCS1;yes;0.062000
ALG_RSA_MD5_PKCS1;yes;0.062000
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0.183000
ALG_AES_MAC_128_NOPAD;yes;0.065000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0.062000
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.062000
ALG_RSA_SHA_PKCS1_PSS;no;
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;yes;0.062000
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;yes;0.184000
ALG_ECDSA_SHA_384;yes;0.183000
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0.183000
ALG_ECDSA_SHA_512;yes;0.182000
ALG_RSA_SHA_224_PKCS1;yes;0.065000
ALG_RSA_SHA_256_PKCS1;yes;0.062000
ALG_RSA_SHA_384_PKCS1;yes;0.063000
ALG_RSA_SHA_512_PKCS1;yes;0.062000
ALG_RSA_SHA_224_PKCS1_PSS;no;
ALG_RSA_SHA_256_PKCS1_PSS;no;
ALG_RSA_SHA_384_PKCS1_PSS;no;
ALG_RSA_SHA_512_PKCS1_PSS;no;
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;

javacard.security.MessageDigest
ALG_SHA;yes;0.062000
ALG_MD5;yes;0.065000
ALG_RIPEMD160;no;
ALG_SHA_256;yes;0.065000
ALG_SHA_384;yes;0.064000
ALG_SHA_512;yes;0.065000
ALG_SHA_224;yes;0.065000

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;0.069000
ALG_SECURE_RANDOM;yes;0.068000

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;0.082000
TYPE_DES_TRANSIENT_DESELECT;yes;0.083000
TYPE_DES LENGTH_DES;yes;0.075000
TYPE_DES LENGTH_DES3_2KEY;yes;0.075000
TYPE_DES LENGTH_DES3_3KEY;yes;0.075000
TYPE_AES_TRANSIENT_RESET;yes;0.083000
TYPE_AES_TRANSIENT_DESELECT;yes;0.083000
TYPE_AES LENGTH_AES_128;yes;0.076000
